Zat_Padat_Terlarut;Kekeruhan;Besi;Fluorida;Total_Hardness;Chlorida;Mangan;Nitrat;Nitrit;Ph;Seng;Sulfat;Senyawa_Aktif_Biru_Metilen;Organik_KMnO4;Suhu;Bakteri_Koli;Kualitas;Zat_Padat_Terlarut,Kekeruhan,Besi,Fluorida,Total_Hardness,Chlorida,Mangan,Nitrat,Nitrit,Ph,Seng,Sulfat,Senyawa_Aktif_Biru_Metilen,Organik_KMnO4,Suhu,Bakteri_Koli,Kualitas
254;01.01;00.13;00.05;93.48.00;30.99;00.05;06.25;0.004;06.08;00.08;40.09.00;00.03;0,086111111;23.09;100;0;254,1.1,0.13,0.05,93.48,30.99,0.05,6.25,0.004,6.8,0.08,40.9,0.03,1.64,23.9,100,0
184;00.01;00.08;00.05;76.09.00;10.33;00.05;00.43;0.003;07.07;00.01;11.13;00.03;02.55;23.09;0;1;184,0.1,0.08,0.05,76.09,10.33,0.05,0.43,0.003,7.7,0.01,11.13,0.03,2.55,23.9,0,1
99;04.03;00.08;00.05;43.48.00;12.03;00.05;0,167361111;0.003;06.06;00.02;0,560416667;00.03;0,110416667;23.09;0;0;99,4.3,0.08,0.05,43.48,12.3,0.05,3.61,0.003,6.6,0.02,12.87,0.03,1.99,23.9,0,0
127;01.04;00.09;00.05;56.52.00;0,068055556;00.09;00.19;0.003;07.05;00.01;08.32;00.03;01.08;23.08;0;1;127,1.4,0.09,0.05,56.52,0.98,0.09,0.19,0.003,7.5,0.01,8.32,0.03,1.8,23.8,0,1
241;00.02;00.08;00.22;97.96;44.01.00;00.43;2;0.003;06.07;00.01;32.64;00.04;02.43;24.09.00;100;0;241,0.02,0.08,0.22,97.96,44.01,0.43,2,0.003,6.7,0.01,32.64,0.04,2.43,24.9,100,0
100.07.00;1;00.08;00.05;47.83;0,149305556;00.05;0,047222222;0.003;07.05;00.01;08.05;00.03;01.48;23.05;0;1;100.7,1,0.08,0.05,47.83,2.95,0.05,0.68,0.003,7.5,0.01,8.5,0.03,1.48,23.5,0,1
154;00.01;00.08;00.05;47.83;33.95;00.15;02.29;0.003;05.01;00.03;0,475694444;00.03;02.21;23.06;0;0;154,0.1,0.08,0.05,47.83,33.95,0.15,2.29,0.003,5.1,0.03,10.85,0.03,2.21,23.6,0,0
125;00.01;00.08;00.05;50;0,636111111;00.05;0,274305556;0.003;06.02;00.01;11.01;00.03;01.31;23.06;200;0;125,0.1,0.08,0.05,50,14.76,0.05,5.95,0.003,6.2,0.01,11.01,0.03,1.31,23.6,200,0
66.07.00;00.01;00.19;00.05;26.09.00;15.25;0,053472222;0,222916667;0.003;6;00.01;0,483333333;00.03;0,103472222;23.04;0;0;66.7,0.1,0.19,0.05,26.09,15.25,0.77,4.81,0.003,6,0.01,10.96,0.03,1.89,23.4,0,0
134;11.02;00.03;00.05;54.35.00;07.38;00.05;0,059027778;0.003;06.08;00.01;24.01.00;00.03;0,084027778;23.05;200;0;134,11.2,0.3,0.05,54.35,7.38,0.05,0.85,0.003,6.8,0.01,24.1,0.03,1.61,23.5,200,0
